EPIC,Campaign,Teff,log g,Prot,ΔProt,hpeak,Rvar,Kp,MG,N_EVEREST,N_TESS_SPOC,Period_TESS,Amplitude_TESS,Period_K2,Amplitude_K2,Sector
210981388,4,4349,4.74,2.48,0.24,0.35,4.16,16.1,9.2,1.0,0.0,0.0,0.0,118.12936670576164,0.0672537270519119,
211001410,4,4307,4.68,2.76,0.25,0.5,4.78,14.25,,1.0,0.0,0.0,0.0,2.72606249432619,0.06639266218837159,
211003672,4,4212,4.73,9.92,0.59,0.69,1.25,14.85,,1.0,0.0,0.0,0.0,88.59717835252013,0.018682521864918922,
211006753,4,4109,4.81,5.58,0.35,0.79,6.4,16.07,10.3,1.0,0.0,0.0,0.0,5.625229348888896,0.06657145670385445,
211012609,4,4091,4.79,1.52,0.21,0.49,9.29,15.42,,1.0,2.0,1.5062095740001584,0.08220592737197863,1.5080393355075354,0.10693947730198872,43.0
211023176,4,4458,4.66,7.3,0.43,0.81,2.98,12.69,7.06,1.0,3.0,4.964849393237351,0.05209473371505746,7.383101616131473,0.03086435474391236,42.0
211023687,4,4256,4.76,3.94,0.28,0.93,9.12,13.18,7.54,1.0,3.0,3.9302134966214908,0.040396541357040405,3.937651836831517,0.0909150996705066,42.0
211029788,4,4188,4.77,2.82,0.25,0.56,2.13,16.68,,1.0,0.0,0.0,0.0,118.12998701539378,0.05178476242895158,
211030680,4,4028,4.83,7.15,0.42,0.7,5.09,13.33,7.06,1.0,3.0,4.537933133433398,0.020794001221656866,7.087770596636983,0.055822025646143136,42.0
211031293,4,4265,4.74,8.45,0.49,0.9,6.66,13.11,7.24,1.0,3.0,4.9557890805432265,0.027093407511711187,8.437826833869622,0.07249850689667547,42.0
211035702,4,4059,4.8,9.36,0.55,0.6,1.95,13.46,7.58,1.0,3.0,5.684223881116395,0.020591437816619984,354.3885995000164,0.030736283736200187,42.0
211049922,4,4015,4.82,3.01,0.25,0.87,7.85,13.5,7.45,1.0,3.0,3.00778253167281,0.0373004674911499,3.0289662123662,0.10642337136344016,42.0
211053776,4,4071,4.86,3.02,0.25,0.52,5.94,12.59,5.56,1.0,3.0,3.089073746037635,0.029895007610321045,3.055077682662347,0.06164740122364887,42.0
211059303,4,4248,4.75,3.26,0.26,0.7,7.23,16.25,8.74,1.0,0.0,0.0,0.0,3.2217263336146553,0.10104550476701002,
211059949,4,4065,4.78,1.67,0.22,0.72,4.71,14.11,8.04,1.0,3.0,1.6808198511513608,0.06503885984420776,118.1297148180359,0.08947324770879872,42.0
211071889,4,4043,4.8,6.5,0.39,0.93,5.81,13.46,7.48,1.0,3.0,5.714437426576296,0.04413823485374457,6.443433932061784,0.06329370952115576,42.0
211074888,4,4274,4.72,3.83,0.28,0.8,6.14,12.85,7.55,1.0,0.0,0.0,0.0,3.8106308727763327,0.05893754148649211,
211081949,4,4052,4.79,2.11,0.23,0.93,5.35,14.29,8.02,1.0,3.0,2.1165877732103886,0.03692549467086792,2.109459070485779,0.07809291841640686,42.0
211083301,4,4107,4.82,3.68,0.28,0.82,8.44,14.7,7.58,1.0,3.0,1.8396698918821042,0.05961551666259757,3.7304080259920362,0.08480818712460314,42.0
211084069,4,4166,4.77,2.18,0.23,0.67,2.89,14.52,8.62,1.0,3.0,2.15652177292076,0.03203880786895752,2.2011721622592355,0.026922512333843907,42.0
211084620,4,4024,4.83,4.61,0.31,0.45,3.46,13.61,7.5,1.0,3.0,4.571829028075444,0.06648069620132446,118.12968305392131,0.052040875636221506,42.0
211090224,4,4004,4.85,5.91,0.36,0.96,3.95,14.73,8.97,1.0,3.0,6.003132211160032,0.09510382413864127,5.906478168211227,0.04648687584147304,42.0
211093377,4,4286,4.73,6.59,0.39,0.91,8.98,16.0,,1.0,2.0,6.754042933516379,0.06552465856075285,177.19500343449909,0.060377579263579007,43.0
211100131,4,4327,4.71,7.84,0.46,0.8,2.34,12.97,6.79,1.0,3.0,4.5654368502302525,0.020577549934387207,7.875305780612203,0.02596573890966769,42.0
